2022-07-26 10:52:01, INFO:mIoU:
+-------+------------+
| class |    iou     |
+-------+------------+
|   0   | 0.9888242  |
|   1   | 0.6537976  |
|   2   | 0.6179539  |
|   3   | 0.7772722  |
|   4   | 0.86346304 |
|   5   | 0.6208454  |
|   6   | 0.56703913 |
|   7   | 0.36703634 |
|   8   | 0.6058535  |
|   9   | 0.4634402  |
|   10  | 0.35820335 |
|   11  |  0.512071  |
|   12  | 0.7135484  |
|   13  | 0.72533375 |
|   14  | 0.8202619  |
|   15  | 0.5390975  |
|  mIoU | 0.6371276  |
+-------+------------+
